"id","code","name","type"
"1","LEPL1101","Algèbre","None"
"2","LEPL1102","Analyse","None"
"3","LEPL1201","Physique I","None"
"4","LEPL1501","Projet 1","None"
"5","LEPL1401","Info 1","None"
"6","LEPL1104","Méthodes num","None"
"7","LEPL1105","Analyse II","None"
"8","LEPL1202","Physique II","None"
"9","LEPL1502","Projet 2","None"
"10","LEPL1301","Chimie I","None"
"11","LEPL1801","Éthique","None"
"12","LEPL1803","Économie","None"
"13","LEPL1103","EDP et AC","None"
"14","LEPL1106","Signaux et systèmes","None"
"15","LEPL1203","Physique III","None"
"16","LEPL1108","Maths discrètes et proba","None"
"17","LEPL1503","Projet 3","None"
"18","LEPL1302","Chimie II","None"
"19","LEPL1402","Info 2","None"
"20","LEPL1109","Stats","None"
"21","LEPL1110","Elements finis","None"
"22","LEPL1805","Développement durable et transition","None"
"23","LMAPR1805","Science des matériaux","FYKI"
"24","LMAPR1491","Physique statistique et quantique","FYKI"
"25","LMAPR1230","Chimie organique","FYKI"
"26","LMAPR1400","Cinétique et thermodynamique","FYKI"
"27","LMAPR1492","Physique des matériaux","FYKI"
"29","LGCIV1031","Matérieux structuraux et géomatériaux","GC"
"30","LGCIV1022","Mécanique des structures","GC"
"31","LGCIV1023","Stabilité des constructions","GC"
"32","LGCIV1072","Mécanique des sols","GC"
"33","LGCIV1051","Hydraulique","GC"
"34","LGCIV1032","Structures en béton armé","GC"
"35","LELEC1101","Projet elec 1","ELEC"
"36","LELEC1370","Circuits et mesures","ELEC"
"37","LELEC1530","Circuits électroniques analogiques et digitaux","ELEC"
"38","LELEC1755","Physique des dispositifs electriques","ELEC"
"39","LELEC1310","Convertisserus électromécaniques","ELEC"
"40","LELEC1360","Télécommunications","ELEC"
"41","LGBIO1111","Biologie et physiologie cellulaire","GBIO"
"42","LGBIO1112","Intro au génie biomédical","GBIO"
"43","LGBIO1113","Anatomie et physiologie des systèmes","GBIO"
"44","LGBIO1115","Intro aux neurosciences","GBIO"
"45","LBIR1250","Biochimie I","GBIO"
"46","LINFO1104","Oz","INFO"
"47","LINFO1123","Calculabitlité, logique et complexité","INFO"
"48","LINFO1252","Systèmes informatiques","INFO"
"49","LINFO1121","Algorithmique et structures de données","INFO"
"50","LINFO1341","Réseaux informatiques","INFO"
"51","LINFO1361","Intelligence artificielle","INFO"
"52","LINMA1315","Compléments d'analyse","MAP"
"53","LINMA1702","Opti I","MAP"
"54","LINMA1170","Analyse numérique","MAP"
"55","LINMA1691","Théorie des graphes","MAP"
"56","LINMA1510","Linear control","MAP"
"57","LINMA1731","Stochastic processes","MAP"
"58","LMECA1210","Description et analyse des mécanismes","MECA"
"59","LMECA1901","MMC","MECA"
"60","LMECA110","Mécanique des solides déformables","MECA"
"61","LMECA1321","Mécanique des fluides et transferts I","MECA"
"62","LMECA1451","Fabrication mécanique","MECA"
"63","LMECA1855","Thermodynamqiue et énergétique","MECA"
